Wall time,Step,Value
1500388300.2001536,1551,0.7109375
1500388300.5787435,1552,0.7421875
1500388301.4304354,1554,0.7265625
1500388304.4766052,1561,0.7421875
1500388307.1569574,1568,0.703125
1500388307.5407834,1569,0.765625
1500388310.989867,1578,0.6875
1500388312.5232117,1582,0.7734375
1500388313.2882497,1584,0.6875
1500388314.8318965,1588,0.796875
1500388318.3036587,1597,0.7734375
1500388321.009435,1604,0.7265625
1500388321.3912258,1605,0.796875
1500388323.3075342,1610,0.7265625
1500388326.39703,1618,0.8515625
1500388329.9608083,1627,0.7734375
1500388330.3784225,1628,0.78125
1500388331.9471905,1632,0.8515625
1500388333.9023435,1637,0.71875
1500388335.0819666,1640,0.703125
1500388335.8631833,1642,0.7890625
1500388337.0426698,1645,0.7578125
1500388338.2056272,1648,0.7734375
1500388339.7509787,1652,0.75
1500388342.8684666,1660,0.796875
1500388345.9891741,1668,0.734375
1500388347.559282,1672,0.765625
1500388348.7296793,1675,0.8125
1500388349.1190882,1676,0.8046875
1500388351.4680772,1682,0.765625
1500388351.8610916,1683,0.7890625
1500388358.5196826,1691,0.8359375
1500388360.0838923,1695,0.6796875
1500388360.5268533,1696,0.7734375
1500388360.9599583,1697,0.8046875
1500388361.7710025,1699,0.7890625
1500388362.94627,1702,0.7578125
1500388365.7295866,1709,0.75
1500388366.1174233,1710,0.84375
1500388369.298077,1718,0.6328125
1500388369.6917758,1719,0.6875
1500388373.2520092,1728,0.796875
1500388374.8246179,1732,0.796875
1500388375.6202118,1734,0.796875
1500388376.8097198,1737,0.7734375
1500388378.8105803,1742,0.7734375
1500388379.208981,1743,0.7265625
1500388380.017313,1745,0.7578125
1500388380.4189045,1746,0.7734375
1500388380.8215287,1747,0.7109375
1500388382.8278484,1752,0.8671875
1500388388.4237263,1766,0.765625
1500388392.148043,1775,0.8046875
1500388394.5790575,1781,0.796875
1500388397.4247758,1788,0.7421875
1500388397.8230462,1789,0.8359375
1500388401.4291258,1798,0.7421875
1500388404.2529378,1805,0.8046875
1500388409.1833913,1817,0.78125
1500388412.0242352,1824,0.7890625
1500388412.826104,1826,0.8125
1500388414.4364488,1830,0.7890625
1500388418.4928925,1840,0.8046875
1500388418.897125,1841,0.734375
1500388420.1239138,1844,0.796875
1500388422.298402,1849,0.828125
1500388423.9201446,1853,0.40625
1500388433.132951,1866,0.796875
1500388434.3515444,1869,0.7890625
1500388436.7979653,1875,0.765625
1500388437.2138073,1876,0.8046875
1500388437.6246567,1877,0.7890625
1500388444.2072675,1893,0.7578125
1500388451.6370893,1911,0.7734375
1500388454.2484791,1917,0.8515625
1500388457.17592,1924,0.7890625
1500388459.6553953,1930,0.75
1500388461.322898,1934,0.71875
1500388462.1501882,1936,0.7890625
1500388462.9814615,1938,0.7421875
1500388465.52138,1944,0.7890625
1500388466.7676868,1947,0.8203125
1500388467.5888631,1949,0.671875
1500388468.829036,1952,0.75
1500388470.0867965,1955,0.765625
1500388471.3300316,1958,0.828125
1500388475.0673683,1967,0.7421875
1500388475.8997896,1969,0.8515625
1500388480.961202,1981,0.7421875
1500388481.3713117,1982,0.75
1500388481.794285,1983,0.796875
1500388487.7826238,1997,0.7578125
1500388489.4597526,2001,0.8046875
1500388491.1338885,2005,0.765625
1500388492.8143377,2009,0.796875
